aclnn_api,torch_npu,torch_npu_via_ops,mindspore,mindspore_pyboost,mindspore_kbk,mindspore_via_ops
aclnnMatmul,✅,npu_attn_softmax_backward_,✅,✅,✅,BatchMatMul;Dense;MatMul;MatMulExt;MatMulV2;MatmulExt
aclnnMatmulAllReduce,✅,npu_mm_all_reduce_base,✅,✖️,✅,MatMulAllReduce
aclnnMatmulAllReduceAddRmsNorm,✖️,,✅,✅,✅,MatmulAllReduceAddRmsNorm;MatmulAllreduceAddRmsnorm
aclnnMatmulAllReduceV2,✅,npu_mm_all_reduce_base,✖️,✖️,✖️,
aclnnMatmulCompress,✖️,,✖️,✖️,✖️,
aclnnMatmulCompressDequant,✖️,,✖️,✖️,✖️,
aclnnMatmulReduceScatter,✅,,✅,✅,✅,MatmulReduceScatter
aclnnMatmulReduceScatterV2,✅,npu_quant_mm_reduce_scatter,✖️,✖️,✖️,
aclnnMatmulWeightNz,✅,mm;mm.out,✖️,✖️,✖️,
aclnnMax,✅,max;max.dim;max.dim_max;max.names_dim;max.names_dim_max;max.out,✅,✅,✅,BincountExt;Max
aclnnMaxDim,✅,max;max.dim;max.dim_max;max.names_dim;max.names_dim_max;max.out,✅,✅,✅,ArgMaxWithValue;ArgmaxWithValue;MaxDim
aclnnMaxN,✖️,,✖️,✖️,✖️,
aclnnMaxPool,✖️,,✖️,✖️,✖️,
aclnnMaxPool2dWithIndices,✅,max_pool2d_with_indices;max_pool2d_with_indices.out,✅,✅,✅,MaxPoolWithIndices
aclnnMaxPool2dWithIndicesBackward,✅,max_pool2d_with_indices_backward;max_pool2d_with_indices_backward.grad_input,✅,✅,✅,MaxPoolGradWithIndices
aclnnMaxPool2dWithMask,✅,max_pool2d_with_indices;max_pool2d_with_indices.out,✅,✅,✅,MaxPoolWithMask
aclnnMaxPool2dWithMaskBackward,✅,max_pool2d_with_indices_backward;max_pool2d_with_indices_backward.grad_input,✅,✅,✅,MaxPoolGradWithMask
aclnnMaxPool3dWithArgmax,✅,max_pool3d_with_indices;max_pool3d_with_indices.out,✖️,✖️,✖️,
aclnnMaxPool3dWithArgmaxBackward,✅,max_pool3d_with_indices_backward;max_pool3d_with_indices_backward.grad_input,✖️,✖️,✖️,
aclnnMaxUnpool2d,✅,max_unpool2d;max_unpool2d.out,✅,✅,✅,MaxUnpool2DExt;MaxUnpool2dExt
aclnnMaxUnpool2dBackward,✖️,,✖️,✖️,✖️,
aclnnMaxUnpool3d,✅,max_unpool3d;max_unpool3d.out,✖️,✖️,✖️,
aclnnMaxUnpool3dBackward,✖️,,✖️,✖️,✖️,
aclnnMaxV2,✖️,,✖️,✖️,✖️,
aclnnMaximum,✅,max.out;maximum;maximum.out,✅,✅,✅,Maximum
aclnnMean,✅,mean;mean.dim;mean.names_dim;mean.names_out;mean.out,✅,✅,✅,AdaptiveAvgPool3DExt;AdaptiveAvgPool3dExt;MeanExt
aclnnMeanV2,✖️,,✖️,✖️,✖️,
aclnnMedian,✅,median,✅,✅,✅,MedianExt
aclnnMedianDim,✅,median.dim;median.dim_values,✅,✅,✅,MedianDim
aclnnMin,✅,min;min.dim;min.dim_min;min.names_dim;min.names_dim_min;min.out,✅,✅,✅,BincountExt;Min
aclnnMinDim,✅,min;min.dim;min.dim_min;min.names_dim;min.names_dim_min;min.out,✅,✅,✅,ArgMinWithValue;ArgminWithValue;MinDim
aclnnMinN,✖️,,✖️,✖️,✖️,
aclnnMinimum,✅,min.out;minimum.out,✅,✅,✅,Minimum
aclnnMish,✅,mish;mish.out,✅,✅,✅,MishExt
aclnnMishBackward,✅,mish_backward,✅,✅,✅,MishGradExt
aclnnMlaPreprocess,✖️,,✖️,✖️,✖️,
aclnnMlaPreprocessV2,✖️,,✖️,✖️,✖️,
aclnnMlaProlog,✖️,,✖️,✖️,✖️,
aclnnMlaPrologV2WeightNz,✅,npu_mla_prolog_v2,✖️,✖️,✖️,
aclnnMlaPrologV3WeightNz,✅,npu_mla_prolog_v3;npu_mla_prolog_v3_functional,✖️,✖️,✖️,
aclnnMm,✅,mm;mm.out;npu_linear;npu_linear_backward,✅,✅,✅,Matmul;Mm;MmExt
aclnnModulate,✖️,,✖️,✖️,✖️,
aclnnModulateBackward,✖️,,✖️,✖️,✖️,
aclnnMoeComputeExpertTokens,✅,npu_moe_compute_expert_tokens,✖️,✖️,✖️,
aclnnMoeDistributeCombine,✅,npu_moe_distribute_combine,✅,✅,✅,MoeDistributeCombine
aclnnMoeDistributeCombineAddRmsNorm,✅,npu_moe_distribute_combine_add_rms_norm,✖️,✖️,✖️,
aclnnMoeDistributeCombineAddRmsNormV2,✅,npu_moe_distribute_combine_add_rms_norm,✖️,✖️,✖️,
aclnnMoeDistributeCombineV2,✅,npu_moe_distribute_combine_v2,✖️,✖️,✖️,
aclnnMoeDistributeCombineV3,✅,npu_moe_distribute_combine_v2,✖️,✖️,✖️,
aclnnMoeDistributeCombineV4,✅,npu_moe_distribute_combine_v2,✖️,✖️,✖️,
aclnnMoeDistributeDispatch,✅,npu_moe_distribute_dispatch,✅,✅,✅,MoeDistributeDispatch
aclnnMoeDistributeDispatchV2,✅,npu_moe_distribute_dispatch_v2,✖️,✖️,✖️,
aclnnMoeDistributeDispatchV3,✅,npu_moe_distribute_dispatch_v2,✖️,✖️,✖️,
aclnnMoeDistributeDispatchV4,✅,npu_moe_distribute_dispatch_v2,✖️,✖️,✖️,
aclnnMoeFinalizeRouting,✅,npu_moe_finalize_routing,✖️,✖️,✖️,
aclnnMoeFinalizeRoutingV2,✅,npu_moe_finalize_routing,✖️,✖️,✖️,
aclnnMoeFinalizeRoutingV2Grad,✖️,,✖️,✖️,✖️,
aclnnMoeFusedTopk,✖️,,✖️,✖️,✖️,
aclnnMoeGatingTopK,✅,npu_moe_gating_top_k,✖️,✖️,✖️,
aclnnMoeGatingTopKSoftmax,✅,npu_moe_gating_top_k_softmax,✖️,✖️,✖️,
aclnnMoeGatingTopKSoftmaxV2,✅,npu_moe_gating_top_k_softmax_v2,✖️,✖️,✖️,
aclnnMoeInitRouting,✅,npu_moe_init_routing,✖️,✖️,✖️,
aclnnMoeInitRoutingQuant,✖️,,✖️,✖️,✖️,
aclnnMoeInitRoutingQuantV2,✅,npu_moe_init_routing_quant,✅,✖️,✅,MoeInitRoutingQuantV2
aclnnMoeInitRoutingV2,✅,npu_moe_init_routing_v2,✅,✖️,✅,MoeInitRoutingV2
aclnnMoeInitRoutingV2Grad,✖️,,✖️,✖️,✖️,
aclnnMoeInitRoutingV3,✅,npu_moe_init_routing_v2,✖️,✖️,✖️,
aclnnMoeTokenPermute,✅,npu_moe_token_permute,✅,✅,✅,MoeTokenPermute
aclnnMoeTokenPermuteGrad,✅,npu_moe_token_permute_grad,✅,✅,✅,MoeTokenPermuteGrad
aclnnMoeTokenPermuteWithEp,✖️,,✖️,✖️,✖️,
aclnnMoeTokenPermuteWithEpGrad,✖️,,✖️,✖️,✖️,
aclnnMoeTokenPermuteWithRoutingMap,✅,npu_moe_token_permute_with_routing_map,✖️,✖️,✖️,
aclnnMoeTokenPermuteWithRoutingMapGrad,✅,,✖️,✖️,✖️,
aclnnMoeTokenUnpermute,✅,npu_moe_token_unpermute,✅,✅,✅,InnerMoeTokenUnpermute
aclnnMoeTokenUnpermuteGrad,✅,npu_moe_token_unpermute_grad,✅,✅,✅,MoeTokenUnpermuteGrad
aclnnMoeTokenUnpermuteWithEp,✖️,,✖️,✖️,✖️,
aclnnMoeTokenUnpermuteWithEpGrad,✖️,,✖️,✖️,✖️,
aclnnMoeTokenUnpermuteWithRoutingMap,✅,_npu_moe_token_unpermute_with_routing_map,✖️,✖️,✖️,
aclnnMoeTokenUnpermuteWithRoutingMapGrad,✅,npu_moe_token_unpermute_with_routing_map_grad,✖️,✖️,✖️,
aclnnMoeUpdateExpert,✅,npu_moe_update_expert,✖️,✖️,✖️,
aclnnMrgbaCustom,✖️,,✖️,✖️,✖️,
aclnnMseLoss,✅,mse_loss;mse_loss.out,✅,✅,✅,MSELossExt;MseLossExt
aclnnMseLossBackward,✅,mse_loss_backward;mse_loss_backward.grad_input,✅,✅,✅,MSELossGradExt;MseLossGradExt
aclnnMseLossOut,✖️,,✖️,✖️,✖️,
aclnnMul,✅,mul.Scalar;mul.Tensor;mul.out,✅,✅,✅,Mul;Outer;Square
aclnnMuls,✅,mul.Scalar;mul.Tensor;mul.out,✅,✅,✅,Muls
aclnnMultiScaleDeformableAttentionGrad,✖️,,✅,✅,✅,MultiScaleDeformableAttnGrad
aclnnMultiScaleDeformableAttnFunction,✖️,,✅,✅,✅,MultiScaleDeformableAttn
aclnnMultilabelMarginLoss,✅,multilabel_margin_loss.out;multilabel_margin_loss_forward;multilabel_margin_loss_forward.output,✖️,✖️,✖️,
aclnnMultinomial,✅,multinomial;multinomial.out,✅,✅,✅,MultinomialExt
aclnnMultinomialTensor,✅,,✖️,✖️,✖️,
aclnnMv,✅,mv;mv.out,✅,✅,✅,Mv
aclnnNLLLoss,✅,nll_loss_forward;nll_loss_forward.output,✅,✅,✅,NLLLoss;Nllloss
aclnnNLLLoss2d,✅,nll_loss2d_forward;nll_loss2d_forward.output,✅,✅,✅,NLLLoss2d;Nllloss2d
aclnnNLLLoss2dBackward,✅,nll_loss2d_backward;nll_loss2d_backward.grad_input,✅,✅,✅,NLLLoss2dGrad;Nllloss2dGrad
aclnnNLLLossBackward,✅,nll_loss_backward;nll_loss_backward.grad_input,✅,✅,✅,NLLLossGrad;NlllossGrad
aclnnNanMedian,✅,nanmedian,✖️,✖️,✖️,
aclnnNanMedianDim,✅,nanmedian.dim,✖️,✖️,✖️,
aclnnNanToNum,✅,nan_to_num;nan_to_num.out,✅,✅,✅,NanToNum
aclnnNeScalar,✅,ne.Scalar;ne.Scalar_out;ne.Tensor;ne.Tensor_out,✅,✅,✅,CountNonZero;NeScalar
aclnnNeTensor,✅,ne.Scalar;ne.Scalar_out;ne.Tensor;ne.Tensor_out,✅,✅,✅,NotEqual
aclnnNeg,✅,neg;neg.out;neg_,✅,✅,✅,Neg
aclnnNonMaxSuppression,✖️,,✖️,✖️,✖️,
aclnnNonzero,✅,nonzero;nonzero.out,✅,✅,✅,NonZero
aclnnNonzeroV2,✖️,,✅,✅,✅,InnerNonZero
aclnnNorm,✅,norm.Scalar;norm.ScalarOpt_dim;norm.ScalarOpt_dim_dtype;norm.ScalarOpt_dtype;norm.dtype_out;norm.out,✅,✅,✅,Norm
aclnnNormRopeConcat,✖️,,✖️,✖️,✖️,
aclnnNormRopeConcatBackward,✖️,,✖️,✖️,✖️,
aclnnNormalFloatFloat,✅,normal.Tensor_Tensor;normal.Tensor_Tensor_out;normal.Tensor_float;normal.Tensor_float_out;normal.float_Tensor;normal.float_Tensor_out;normal.float_float;normal.float_float_out,✅,✅,✅,NormalFloatFloat
aclnnNormalFloatTensor,✅,normal.Tensor_Tensor;normal.Tensor_Tensor_out;normal.Tensor_float;normal.Tensor_float_out;normal.float_Tensor;normal.float_Tensor_out;normal.float_float;normal.float_float_out,✅,✅,✅,NormalFloatTensor
aclnnNormalTensorFloat,✅,normal.Tensor_Tensor;normal.Tensor_Tensor_out;normal.Tensor_float;normal.Tensor_float_out;normal.float_Tensor;normal.float_Tensor_out;normal.float_float;normal.float_float_out,✅,✅,✅,NormalTensorFloat
aclnnNormalTensorTensor,✅,normal.Tensor_Tensor;normal.Tensor_Tensor_out;normal.Tensor_float;normal.Tensor_float_out;normal.float_Tensor;normal.float_Tensor_out;normal.float_float;normal.float_float_out,✅,✅,✅,NormalTensorTensor
aclnnNpuFormatCast,✖️,,✖️,✖️,✖️,
aclnnNsaCompress,✅,npu_nsa_compress,✅,✅,✅,NsaCompress
aclnnNsaCompressAttention,✅,npu_nsa_compress_attention,✅,✅,✅,NsaCompressAttention
aclnnNsaCompressAttentionInfer,✅,npu_nsa_compress_attention_infer,✖️,✖️,✖️,
aclnnNsaCompressGrad,✅,npu_nsa_compress_grad,✅,✅,✅,NsaCompressGrad
aclnnNsaCompressWithCache,✅,npu_nsa_compress_infer.cache,✖️,✖️,✖️,
aclnnNsaSelectedAttention,✅,npu_nsa_select_attention,✅,✅,✅,NsaSelectAttention
aclnnNsaSelectedAttentionGrad,✅,npu_nsa_select_attention_grad,✅,✅,✅,NsaSelectAttentionGrad
aclnnNsaSelectedAttentionInfer,✅,npu_nsa_select_attention_infer,✖️,✖️,✖️,
aclnnObfuscationCalculate,✖️,,✖️,✖️,✖️,
aclnnObfuscationCalculateV2,✅,obfuscation_calculate,✖️,✖️,✖️,
aclnnObfuscationSetup,✖️,,✖️,✖️,✖️,
aclnnObfuscationSetupV2,✅,obfuscation_finalize;obfuscation_initialize,✖️,✖️,✖️,
aclnnOneHot,✅,npu_one_hot;one_hot,✅,✅,✅,OneHotExt
aclnnPdist,✅,_pdist_forward,✖️,✖️,✖️,
aclnnPdistForward,✖️,,✖️,✖️,✖️,
aclnnPermute,✖️,,✅,✅,✅,Dense;TExt;Transpose;TransposeExt;TransposeExtView
aclnnPolar,✅,polar;polar.out,✅,✅,✅,Polar
aclnnPowScalarTensor,✅,pow.Scalar;pow.Scalar_out,✅,✅,✅,PowScalarTensor
aclnnPowTensorScalar,✅,pow.Tensor_Scalar;pow.Tensor_Scalar_out,✅,✅,✅,PowTensorScalar
aclnnPowTensorTensor,✅,pow.Tensor_Tensor;pow.Tensor_Tensor_out,✅,✅,✅,Pow
aclnnPrecisionCompare,✖️,,✖️,✖️,✖️,
aclnnPrelu,✅,_prelu_kernel,✅,✅,✅,PReLU
aclnnPreluBackward,✅,_prelu_kernel_backward,✅,✅,✅,PReLUGrad
aclnnProd,✅,prod;prod.dim_int;prod.int_out,✅,✅,✖️,ProdExt
aclnnProdDim,✅,prod;prod.dim_int;prod.int_out,✅,✅,✅,ProdExt
aclnnPromptFlashAttention,✖️,,✖️,✖️,✖️,
aclnnPromptFlashAttentionV2,✖️,,✖️,✖️,✖️,
aclnnPromptFlashAttentionV3,✖️,,✅,✅,✅,PromptFlashAttention
aclnnQr,✖️,,✖️,✖️,✖️,
aclnnQuantConvolution,✅,npu_quant_conv2d,✖️,✖️,✖️,
aclnnQuantGroupedMatmulDequant,✅,npu_quant_grouped_matmul_dequant,✖️,✖️,✖️,
aclnnQuantMatmul,✖️,,✖️,✖️,✖️,
aclnnQuantMatmulAllReduce,✅,npu_mm_all_reduce_base,✖️,✖️,✖️,
aclnnQuantMatmulAllReduceAddRmsNorm,✖️,,✖️,✖️,✖️,
aclnnQuantMatmulAllReduceV2,✅,npu_mm_all_reduce_base,✅,✖️,✅,QuantBatchMatmulAllReduce
aclnnQuantMatmulAllReduceV3,✅,npu_mm_all_reduce_base,✖️,✖️,✖️,
aclnnQuantMatmulDequant,✅,npu_quant_matmul_dequant,✖️,✖️,✖️,
aclnnQuantMatmulReduceSumWeightNz,✅,npu_quant_matmul_reduce_sum,✖️,✖️,✖️,
aclnnQuantMatmulV2,✖️,,✖️,✖️,✖️,
aclnnQuantMatmulV3,✖️,,✖️,✖️,✖️,
aclnnQuantMatmulV4,✖️,,✅,✅,✅,QuantBatchMatmul
aclnnQuantMatmulV5,✅,npu_quant_matmul,✅,✅,✖️,QuantMatmul
aclnnQuantMatmulWeightNz,✅,npu_quant_matmul,✖️,✖️,✖️,
aclnnQuantize,✅,_quantize_per_channel_impl.out;_quantize_per_tensor_impl.out,✖️,✖️,✖️,
aclnnQuantizedBatchNorm,✖️,,✖️,✖️,✖️,
aclnnRReluWithNoise,✅,rrelu_with_noise;rrelu_with_noise.out,✖️,✖️,✖️,
aclnnRainFusionAttention,✖️,,✖️,✖️,✖️,
aclnnRandperm,✅,randperm;randperm.generator;randperm.generator_out;randperm.out,✅,✅,✅,RandpermExt
aclnnRange,✅,range;range.out;range.step,✖️,✖️,✖️,
aclnnReal,✖️,,✖️,✖️,✖️,
aclnnReciprocal,✅,reciprocal;reciprocal.out,✅,✅,✅,Reciprocal
aclnnRecurrentGatedDeltaRule,✅,npu_recurrent_gated_delta_rule;npu_recurrent_gated_delta_rule_functional,✖️,✖️,✖️,
aclnnReduceLogSum,✖️,,✖️,✖️,✖️,
aclnnReduceNansum,✅,,✅,✅,✅,Nansum
aclnnReduceSum,✅,sum;sum.DimnameList_out;sum.IntList_out;sum.dim_DimnameList;sum.dim_IntList,✅,✅,✅,CountNonZero;ReduceSum;SumExt
aclnnReflectionPad1d,✅,reflection_pad1d;reflection_pad1d.out,✅,✅,✅,ReflectionPad1D
aclnnReflectionPad1dBackward,✅,reflection_pad1d_backward;reflection_pad1d_backward.grad_input,✅,✅,✅,ReflectionPad1DGrad
aclnnReflectionPad2d,✅,reflection_pad2d;reflection_pad2d.out,✅,✅,✅,ReflectionPad2D
aclnnReflectionPad2dBackward,✅,reflection_pad2d_backward;reflection_pad2d_backward.grad_input,✅,✅,✅,ReflectionPad2DGrad
aclnnReflectionPad3d,✅,reflection_pad3d;reflection_pad3d.out,✅,✅,✅,ReflectionPad3D
aclnnReflectionPad3dBackward,✅,reflection_pad3d_backward;reflection_pad3d_backward.grad_input,✅,✅,✅,ReflectionPad3DGrad
aclnnRelu,✅,relu,✅,✅,✅,ReLU
aclnnRemainderScalarTensor,✅,remainder.Scalar;remainder.Scalar_Tensor;remainder.Scalar_out;remainder.Tensor;remainder.Tensor_out,✅,✅,✅,RemainderScalarTensor
aclnnRemainderTensorScalar,✅,remainder.Scalar;remainder.Scalar_Tensor;remainder.Scalar_out;remainder.Tensor;remainder.Tensor_out,✅,✅,✅,RemainderTensorScalar
aclnnRemainderTensorTensor,✅,remainder.Scalar;remainder.Scalar_Tensor;remainder.Scalar_out;remainder.Tensor;remainder.Tensor_out,✅,✅,✅,RemainderTensorTensor
aclnnRenorm,✅,renorm;renorm.out,✖️,✖️,✖️,
aclnnRepeat,✅,repeat,✅,✅,✅,Repeat;Tile
aclnnRepeatInterleave,✅,repeat_interleave.self_Tensor;repeat_interleave.self_int,✅,✅,✖️,RepeatInterleaveTensor
aclnnRepeatInterleaveInt,✅,,✅,✅,✅,RepeatInterleaveInt
aclnnRepeatInterleaveIntWithDim,✅,,✅,✅,✅,RepeatInterleaveInt
aclnnRepeatInterleaveTensor,✖️,,✅,✅,✅,
aclnnRepeatInterleaveWithDim,✅,repeat_interleave.self_Tensor;repeat_interleave.self_int,✅,✅,✅,RepeatInterleaveTensor
aclnnReplicationPad1d,✅,replication_pad1d;replication_pad1d.out,✅,✅,✅,ReplicationPad1D
aclnnReplicationPad1dBackward,✅,replication_pad1d_backward;replication_pad1d_backward.grad_input,✅,✅,✅,ReplicationPad1DGrad
aclnnReplicationPad2d,✅,replication_pad2d;replication_pad2d.out,✅,✅,✅,ReplicationPad2D
aclnnReplicationPad2dBackward,✅,replication_pad2d_backward;replication_pad2d_backward.grad_input,✅,✅,✅,ReplicationPad2DGrad
aclnnReplicationPad3d,✅,replication_pad3d;replication_pad3d.out,✅,✅,✅,ReplicationPad3D
aclnnReplicationPad3dBackward,✅,replication_pad3d_backward;replication_pad3d_backward.grad_input,✅,✅,✅,ReplicationPad3DGrad
aclnnResize,✖️,,✖️,✖️,✖️,
aclnnRightShift,✅,__irshift__.Scalar;__irshift__.Tensor;__rshift__.Scalar;__rshift__.Tensor,✖️,✖️,✖️,
aclnnRingAttentionUpdate,✖️,,✅,✅,✅,RingAttentionUpdate
aclnnRingAttentionUpdateV2,✖️,,✖️,✖️,✖️,
aclnnRmsNorm,✅,npu_rms_norm,✅,✅,✅,RmsNorm
aclnnRmsNormGrad,✅,npu_rms_norm_backward,✅,✅,✅,RmsNormGrad
aclnnRmsNormQuant,✅,npu_rms_norm_quant,✖️,✖️,✖️,
aclnnRoiAlign,✖️,,✖️,✖️,✖️,
aclnnRoiAlignV2,✖️,,✖️,✖️,✖️,
aclnnRoiAlignV2Backward,✖️,,✖️,✖️,✖️,
aclnnRoll,✅,roll,✅,✅,✅,Roll
aclnnRopeWithSinCosCache,✖️,,✖️,✖️,✖️,
aclnnRotaryPositionEmbedding,✅,npu_rotary_mul,✅,✅,✅,RotaryPositionEmbedding
aclnnRotaryPositionEmbeddingGrad,✅,npu_rotary_mul_backward,✅,✅,✅,RotaryPositionEmbeddingGrad
aclnnRound,✅,round;round.out,✅,✅,✅,
aclnnRoundDecimals,✅,round;round.decimals;round.decimals_out;round.out,✅,✅,✅,Round
aclnnRsqrt,✅,rsqrt;rsqrt.out,✅,✅,✅,Rsqrt
aclnnRsub,✅,rsub.Tensor,✖️,✖️,✖️,
aclnnRsubs,✅,rsub.Scalar,✖️,✖️,✖️,
aclnnSWhere,✅,where;where.self;where.self_out,✅,✅,✅,Select
aclnnScale,✖️,,✖️,✖️,✖️,
aclnnScaledMaskedSoftmax,✅,_masked_softmax;npu_scaled_masked_softmax,✖️,✖️,✖️,
aclnnScaledMaskedSoftmaxBackward,✅,npu_scaled_masked_softmax_backward,✖️,✖️,✖️,
aclnnScatter,✅,scatter.src_out;scatter.value_out,✅,✅,✅,Scatter
aclnnScatterAdd,✅,scatter_add;scatter_add.dimname;scatter_add_,✅,✅,✅,GatherDGradV2;InplaceScatterAdd;ScatterAddExt
aclnnScatterNd,✖️,,✖️,✖️,✖️,
aclnnScatterNdUpdate,✅,npu_scatter_nd_update;npu_scatter_nd_update_,✖️,✖️,✖️,
aclnnScatterPaKvCache,✖️,,✖️,✖️,✖️,
aclnnScatterValue,✅,scatter.src_out;scatter.value_out,✅,✅,✅,ScatterValue
aclnnSearchSorted,✅,searchsorted.Tensor;searchsorted.Tensor_out,✅,✅,✅,SearchSorted;Searchsorted
aclnnSearchSorteds,✅,searchsorted.Scalar,✖️,✖️,✖️,
aclnnSelu,✖️,,✅,✅,✅,SeLUExt
aclnnSeluBackward,✖️,,✅,✅,✅,SeluGrad
aclnnShrink,✖️,,✖️,✖️,✖️,
aclnnSigmoid,✅,sigmoid;sigmoid.out,✅,✅,✅,Sigmoid
aclnnSigmoidBackward,✅,sigmoid_backward;sigmoid_backward.grad_input,✅,✅,✅,SigmoidGrad
aclnnSign,✅,sgn;sgn.out;sign;sign.out;sign_,✅,✅,✅,InplaceSign;Sign
aclnnSignBitsPack,✖️,,✖️,✖️,✖️,
aclnnSignBitsUnpack,✖️,,✖️,✖️,✖️,
aclnnSignbit,✅,signbit.out,✖️,✖️,✖️,
aclnnSilentCheck,✅,_npu_silent_check_v2,✅,✅,✅,SilentCheckV2
aclnnSilentCheckV2,✅,_npu_silent_check_v3,✅,✅,✅,SilentCheckV3
aclnnSilu,✅,silu;silu.out;silu_,✅,✅,✅,InplaceSiLU;InplaceSilu;SiLU
aclnnSiluBackward,✅,silu_backward;silu_backward.grad_input,✅,✅,✅,SiLUGrad
aclnnSimThreadExponential,✅,npu_sim_exponential_,✖️,✖️,✖️,
aclnnSin,✅,sin;sin.out,✅,✅,✅,Sin
aclnnSinc,✅,sinc;sinc.out,✅,✅,✅,Sinc
aclnnSinh,✅,sinh;sinh.out,✅,✅,✅,Sinh
aclnnSinkhorn,✖️,,✖️,✖️,✖️,
aclnnSlice,✖️,,✅,✅,✅,Narrow;Slice;SliceExt
aclnnSliceV2,✖️,,✖️,✖️,✖️,
aclnnSlogdet,✅,slogdet,✖️,✖️,✖️,
aclnnSmoothL1Loss,✅,smooth_l1_loss;smooth_l1_loss.out,✅,✅,✅,SmoothL1Loss
aclnnSmoothL1LossBackward,✅,smooth_l1_loss_backward;smooth_l1_loss_backward.grad_input,✅,✅,✅,SmoothL1LossGrad
aclnnSoftMarginLoss,✅,soft_margin_loss;soft_margin_loss.out,✅,✅,✅,SoftMarginLoss
aclnnSoftMarginLossBackward,✅,soft_margin_loss_backward;soft_margin_loss_backward.grad_input,✅,✅,✅,SoftMarginLossGrad
aclnnSoftmax,✅,_softmax;_softmax.out;npu_attn_softmax_,✅,✅,✅,Softmax
aclnnSoftmaxBackward,✅,_softmax_backward_data;_softmax_backward_data.out;npu_attn_softmax_backward_,✅,✅,✅,SoftmaxBackward
aclnnSoftmaxCrossEntropyWithLogits,✖️,,✖️,✖️,✖️,
aclnnSoftplus,✅,softplus;softplus.out,✅,✅,✅,SoftplusExt
aclnnSoftplusBackward,✅,softplus_backward.grad_input,✅,✅,✅,SoftplusGradExt
aclnnSoftshrink,✅,softshrink;softshrink.out,✅,✅,✅,SoftShrink;Softshrink
aclnnSoftshrinkBackward,✅,softshrink_backward;softshrink_backward.grad_input,✅,✅,✅,SoftShrinkGrad;SoftshrinkGrad
aclnnSort,✅,sort;sort.dimname;sort.dimname_values;sort.stable;sort.values;sort.values_stable,✅,✅,✅,ArgSort;SortExt
aclnnSparseFlashAttentionGrad,✖️,,✅,✅,✅,SparseFlashAttentionGrad
aclnnSparseLightningIndexerGradKLLoss,✖️,,✖️,✖️,✖️,
aclnnSplitTensor,✖️,,✅,✅,✅,Chunk;SplitTensor
aclnnSplitWithSize,✅,split_with_sizes_copy.out,✅,✅,✅,SplitWithSize
aclnnSqrt,✅,sqrt;sqrt.out,✅,✅,✅,Sqrt
aclnnSquaredRelu,✖️,,✖️,✖️,✖️,
aclnnStack,✅,stack;stack.out,✅,✅,✅,StackExt
aclnnStd,✅,std.correction;std.correction_out,✅,✅,✅,Std
aclnnStdMeanCorrection,✅,std_mean.correction,✅,✅,✅,StdMean
aclnnStridedSliceAssignV2,✖️,,✖️,✖️,✖️,
aclnnSub,✅,sub.Scalar;sub.Tensor;sub.out,✅,✅,✅,Sub;SubExt
aclnnSubs,✅,sub.Scalar;sub.Tensor;sub.out,✅,✅,✅,SubScalar
aclnnSum,✖️,,✖️,✖️,✖️,
aclnnSvd,✅,_linalg_svd.U,✖️,✖️,✖️,
aclnnSwiGlu,✅,npu_swiglu,✅,✅,✅,Swiglu
aclnnSwiGluGrad,✅,npu_swiglu_backward,✅,✅,✅,SwigluGrad
aclnnSwiGluQuant,✖️,,✖️,✖️,✖️,
aclnnSwiGluQuantV2,✅,npu_swiglu_quant,✖️,✖️,✖️,
aclnnSwinAttentionScoreQuant,✖️,,✖️,✖️,✖️,
aclnnSwinTransformerLnQkvQuant,✖️,,✖️,✖️,✖️,
aclnnSwish,✖️,,✖️,✖️,✖️,
aclnnSwishBackward,✖️,,✖️,✖️,✖️,
aclnnSyncBatchNormGatherStats,✅,batch_norm_gather_stats_update,✖️,✖️,✖️,
aclnnTake,✅,take;take.out,✅,✅,✅,Take
aclnnTan,✅,tan;tan.out,✅,✅,✅,Tan
aclnnTanh,✅,tanh;tanh.out,✅,✅,✅,Tanh
aclnnTanhBackward,✅,tanh_backward;tanh_backward.grad_input,✅,✅,✅,TanhGrad
aclnnTfScatterAdd,✖️,,✅,✅,✅,TensorScatterAdd
aclnnThreeInterpolateBackward,✖️,,✖️,✖️,✖️,
aclnnThreshold,✅,threshold;threshold.out,✅,✅,✅,Threshold
aclnnThresholdBackward,✅,threshold_backward,✅,✅,✅,ReluGrad;ThresholdGrad
aclnnTopKTopPSample,✖️,,✖️,✖️,✖️,
aclnnTopk,✅,topk;topk.values,✅,✅,✅,TopkExt
aclnnTrace,✅,trace,✅,✅,✅,TraceExt
aclnnTransConvolutionWeight,✖️,,✖️,✖️,✖️,
aclnnTransMatmulWeight,✖️,,✖️,✖️,✖️,
aclnnTransQuantParam,✖️,,✖️,✖️,✖️,
aclnnTransQuantParamV2,✅,npu_trans_quant_param;npu_weight_quant_batchmatmul,✅,✅,✖️,QuantMatmul
aclnnTransQuantParamV3,✅,npu_trans_quant_param,✖️,✖️,✖️,
aclnnTransformBiasRescaleQkv,✅,_transform_bias_rescale_qkv,✖️,✖️,✖️,
aclnnTransposeBatchMatMul,✅,npu_transpose_batchmatmul,✖️,✖️,✖️,
aclnnTriangularSolve,✅,triangular_solve.X,✅,✅,✅,TriangularSolve
